Name,Gender,Salary,Departments,Position
은지연,male,12648,advertising,manager
최현지,male,12165,advertising,assistant
김상민,female,12322,marketing,manager
음현석,female,27573,design,assistant
연다희,male,10487,advertising,assistant
맹서원,male,23318,design,manager
복진호,male,12003,IT,header
손정민,female,9390,marketing,assistant
라한결,male,10010,IT,assistant
갈승빈,female,29236,marketing,intern
윤채연,male,24009,advertising,header
두성준,male,15281,design,manager
왕혜정,female,29705,marketing,assistant
하우성,female,17079,marketing,intern
탁혜인,female,22921,marketing,manager
추태호,male,7789,IT,manager
반연서,female,23582,marketing,manager
염윤서,male,19884,marketing,intern
류라온,male,16336,design,intern
상규빈,male,4490,marketing,manager
엄현,female,15516,advertising,assistant
우은호,male,21368,advertising,manager
모건우,female,9224,advertising,manager
박한울,male,27152,marketing,manager
견지윤,male,29798,advertising,manager
간승환,female,5359,advertising,assistant
은다영,male,26458,design,manager
승시윤,female,15568,IT,assistant
동형준,female,18045,finance,header
추재민,male,25554,finance,assistant
빈성우,male,16684,advertising,assistant
제효린,female,26671,advertising,assistant
민지유,male,22162,marketing,assistant
제다경,male,12729,marketing,header
고시은,male,10356,marketing,assistant
우은찬,male,21122,design,assistant
어온유,female,23705,marketing,assistant
문지유,male,9929,IT,assistant
현태윤,female,23857,advertising,assistant
표시안,male,9515,advertising,manager
금강현,female,9677,marketing,assistant
전정원,male,18072,marketing,assistant
곽동욱,female,19751,marketing,assistant
문연지,female,15144,marketing,assistant
노준형,male,25170,IT,intern
곽소영,male,23485,design,manager
봉혜인,female,4412,marketing,assistant
정승준,female,6320,marketing,assistant
심지영,male,19796,marketing,manager
함세연,male,27863,finance,assistant
오재하,male,11086,marketing,assistant
반선우,male,28439,advertising,intern
구수혁,female,24233,marketing,header
배동규,female,5077,marketing,assistant
형민수,male,14365,marketing,manager
라지아,female,14000,design,assistant
구도겸,female,11411,advertising,assistant
지태이,female,8084,marketing,assistant
성유은,female,3540,finance,assistant
문연우,female,19485,marketing,manager
동건,male,4137,marketing,header
사소은,male,3247,marketing,assistant
황지은,male,16582,finance,assistant
제태오,female,14428,marketing,intern
고미소,male,26640,IT,manager
임정빈,female,9680,advertising,assistant
염아연,male,19691,finance,assistant
조설아,male,8049,design,assistant
차서준,male,4303,marketing,manager
민태윤,female,14092,finance,manager
심태훈,male,6485,finance,manager
승준우,male,23769,marketing,assistant
고은유,male,18736,IT,manager
승서원,female,23542,advertising,manager
피재인,female,19086,IT,intern
인다희,male,16497,marketing,assistant
한우빈,male,9582,marketing,header
길고은,female,28046,finance,manager
구재준,male,8277,design,manager
맹주호,male,13187,advertising,assistant
장지유,female,28759,marketing,assistant
마연호,female,6055,marketing,manager
맹온유,female,8542,marketing,manager
황지용,male,20456,marketing,manager
허태환,male,9243,marketing,assistant
이선호,female,7288,advertising,header
승아린,male,18388,marketing,assistant
탁우빈,male,23073,marketing,assistant
권은우,male,10537,design,assistant
호수아,female,7288,advertising,assistant
홍태희,male,26178,IT,intern
남연호,male,28151,IT,manager
두준서,female,19052,marketing,assistant
함도영,male,21450,marketing,intern
한시은,male,15372,marketing,header
임세훈,male,22411,advertising,manager
송소미,male,6657,marketing,assistant
권지민,female,25288,marketing,header
마아연,female,21206,marketing,manager
오윤서,male,16046,marketing,manager
음민지,male,12600,advertising,assistant
홍소원,male,20852,IT,assistant
노선율,male,4721,marketing,manager
오소연,male,14587,marketing,manager
단로이,female,15604,marketing,assistant
국정원,female,24887,marketing,assistant
부진서,female,21995,finance,assistant
승은수,male,25094,advertising,header
도정현,female,16016,advertising,assistant
주태준,male,8695,marketing,manager
여유경,male,22638,marketing,manager
송현지,female,22978,marketing,assistant
지채윤,male,5226,finance,assistant
허준후,female,16097,design,intern
이정현,male,23220,marketing,assistant
위성우,female,16013,marketing,assistant
설호준,female,10941,marketing,manager
황서인,male,20801,marketing,assistant
반은재,male,19610,marketing,assistant
양시후,male,15538,marketing,assistant
두도율,female,8145,marketing,assistant
탁주희,female,8218,finance,assistant
공이현,male,22195,marketing,manager
예정우,male,22764,finance,manager
예지후,female,29512,IT,assistant
여여진,male,17157,marketing,assistant
박원우,male,3795,marketing,assistant
임동건,male,18101,IT,manager
류정윤,male,18832,advertising,manager
선민석,male,24512,IT,assistant
고다현,male,3219,advertising,manager
왕도윤,male,7158,marketing,assistant
팽다현,male,5321,design,assistant
장선우,female,4166,advertising,intern
연채은,male,25056,marketing,intern
전하윤,female,8137,design,assistant
길다현,male,23424,marketing,manager
방규현,male,4194,advertising,assistant
이효원,male,11799,IT,manager
민이서,male,13954,advertising,manager
봉다원,male,8333,marketing,header
길재준,male,8496,advertising,assistant
빈도하,male,27781,marketing,assistant
차동준,male,12418,IT,manager
서다원,male,8727,marketing,assistant
성재율,female,29123,advertising,assistant
빈서현,female,11680,marketing,assistant
임윤슬,male,21171,advertising,assistant
송단우,male,21398,marketing,header
남효린,female,14949,marketing,manager
추유라,male,20159,marketing,assistant
심윤서,female,19831,marketing,assistant
은태이,male,24011,marketing,header
인예슬,female,22291,design,assistant
탁윤진,male,14720,marketing,manager
곽정원,female,18942,advertising,assistant
두단우,male,3907,marketing,assistant
도수진,female,10293,design,assistant
한혜성,male,10064,marketing,manager
차시후,male,15640,marketing,assistant
손민아,female,8587,finance,assistant
방다온,male,25792,IT,assistant
허성윤,male,4441,advertising,assistant
