Name,Grade,Major
남세현,5,2
갈사랑,6,1
빈단우,3,2
금라윤,2,1
피이솔,1,2
라지수,3,2
추지은,1,1
서동우,1,2
염현빈,2,2
좌준서,1,3
기우준,3,1
좌현승,2,2
피정훈,3,1
봉아라,1,1
어윤건,5,2
주주완,6,3
반소은,2,1
좌상현,6,3
피혜성,6,2
공서원,4,1
제아영,2,1
장대현,5,3
백하람,2,2
서채윤,4,1
부윤채,3,1
어예준,1,1
방소윤,1,3
류준우,3,1
원가을,3,2
호은찬,1,1
방아름,4,1
안가온,1,2
하효은,1,2
남상현,2,2
육유이,3,2
제가은,3,3
지윤하,2,2
방태현,3,3
연시우,5,1
기수혁,2,1
문나린,6,2
승준영,6,3
방하온,2,1
신연우,1,2
복현수,5,3
복예찬,5,1
원지유,1,3
좌동현,3,1
문성현,3,2
차지원,5,2
갈현준,3,2
홍현,6,3
반예림,2,1
탁도겸,6,2
동승우,6,1
석나연,5,3
당주희,6,2
소봄,5,2
윤도율,3,2
온태호,5,1
어예원,5,2
방건희,6,1
호다혜,5,2
설정연,6,3
은율,1,1
태재현,2,1
왕로이,6,3
하슬아,1,1
심민규,4,3
빈재준,3,3
전수현,2,1
표정연,2,1
팽예주,5,1
제현호,2,1
강승유,1,2
간효린,4,3
고윤슬,6,2
함다현,5,2
강유나,1,3
설도준,6,3
한태영,6,3
육이솔,6,2
온현,6,2
선주희,4,2
백주영,1,1
간지율,6,2
위아준,6,1
편채희,2,1
국민주,5,3
온시연,3,2
맹준형,5,2
어승재,4,2
오지수,3,3
기현서,6,2
염효주,2,1
표정훈,6,1
홍성훈,4,1
봉성윤,4,2
갈규빈,5,2
박도은,6,1
경예나,3,1
함성진,5,2
함가빈,3,2
라하음,6,1
선설,3,1
소지후,3,3
피민정,2,2
탁주한,5,3
시채빈,1,2
여도진,5,1
지나경,4,2
왕지수,6,3
공도은,5,2
인유빈,6,2
태다윤,1,1
정유민,3,2
소주연,4,3
현성훈,5,2
목시윤,4,1
함효준,1,1
모은준,6,2
육지인,1,2
음민찬,4,3
현제인,1,3
명영준,6,2
단시완,3,1
안시우,6,1
시상현,1,1
문연우,2,3
오재하,4,3
권서린,4,2
어유건,4,3
예주완,3,1
감다경,5,2
심혜민,5,1
사가인,5,1
호은유,4,1
진수아,6,3
견유빈,2,2
범민우,1,3
손라온,6,2
심예성,4,3
팽도훈,2,1
좌시현,5,3
길재율,2,1
홍도윤,1,2
라정빈,4,3
석재훈,5,1
송승훈,4,1
윤다인,1,3
표서율,5,1
호주영,1,1
곽희원,6,2
성예은,5,2
손은준,2,2
제미소,1,2
태유경,4,1
강아준,5,1
백수호,6,3
홍가빈,2,2
임상우,4,3
추윤진,1,2
승민성,2,1
허소원,3,1
두은혁,3,3
맹지호,5,3
감현석,2,1
육규현,3,2
신세영,3,2
금예린,1,2
홍도경,3,1
감윤서,6,1
오주혁,2,3
최건호,6,2
도정원,4,2
김동건,6,2
금준혁,4,2
육연지,5,1
감혜윤,4,3
서여준,2,1
빈한결,6,3
한새봄,6,1
신서은,6,1
상태율,2,1
윤소율,6,1
권주희,5,1
좌재희,6,1
엄나윤,2,1
길서준,2,3
전민채,3,2
은도율,6,1
갈예진,5,3
주아린,5,2
배나연,6,2
은서율,5,2
옥아현,6,2
우민서,4,2
추우성,1,1
손은우,1,1
공진우,5,3
좌윤진,3,3
좌준혁,1,3
태이현,1,3
차유안,3,3
위태호,1,1
여채린,6,1
주하성,1,3
하윤성,1,3
사정민,4,2
좌예빈,5,1
민민규,4,3
상하빈,6,2
제태린,5,2
송희찬,3,3
위예슬,3,3
방가연,2,1
진봄,6,1
견아인,5,3
간이나,3,2
류수진,5,2
갈민솔,5,3
방승윤,2,2
복도현,5,2
모상우,3,2
마루아,3,2
예지연,4,2
육가람,6,3
염규현,5,2
빈보미,1,2
오아린,6,3
추은우,4,2
육로운,4,2
온재이,1,2
옥태인,5,2
도정우,4,3
손지호,1,1
예지영,4,3
어유진,3,3
복선우,6,1
최가을,3,1
민이현,1,3
동신우,4,1
허민결,6,1
소하엘,1,1
부주현,2,3
안여원,6,3
서유경,3,2
현윤하,6,1
황이솔,1,2
조단우,5,2
도신우,1,3
김선우,6,3
염인우,4,3
좌다현,1,2
민소윤,6,3
경정윤,2,2
여솔,2,2
신형준,2,3
양용준,6,1
인아현,5,2
목재이,2,2
사연우,4,3
형서율,2,3
장하늘,6,1
모선우,1,3
탁소현,2,1
명채빈,4,3
길예원,2,2
당다온,4,3
온이현,3,3
천한나,4,3
호지아,1,2
사예나,3,2
우은설,4,2
이은비,2,2
차혜민,1,2
제찬희,5,1
감현진,5,3
염연수,5,2
편해인,6,2
감현아,2,3
공한나,3,2
음시헌,2,2
라윤찬,5,1
임유라,6,2
배영민,1,2
석채은,2,3
도재인,4,3
예주현,1,3
은루아,2,2
두라희,5,2
단우주,6,3
강다은,5,1
변하진,5,2
우아연,5,2
용예담,3,3
문준수,1,1
이우주,1,3
임현승,5,1
태여원,1,3
여도하,5,1
감채빈,5,2
봉태희,6,3
노수민,2,3
공민기,5,1
문윤성,1,2
조지윤,5,1
봉태훈,1,1
탁진혁,6,1
감예림,5,1
차은우,6,1
간리원,2,1
성승윤,1,1
형예서,1,1
배은설,6,2
장하율,4,2
박도겸,3,2
표혜원,5,1
금라온,3,2
이하온,5,3
용태양,4,3
함지율,5,2
모태리,6,1
노준현,3,3
한아영,6,3
함서정,5,1
음하준,3,1
지연수,2,2
기하민,6,3
곽하랑,1,2
원하나,1,2
나정훈,6,1
석찬영,1,3
배도윤,5,1
라시후,6,1
상가온,1,1
류수연,3,3
우동준,1,3
박건호,1,3
함아린,2,3
성은혁,2,2
팽석현,4,2
임혜원,5,3
도하진,4,2
천도윤,6,3
손설,1,2
강은서,1,1
제범준,4,1
곽지한,6,1
동승호,5,2
신은수,1,3
방강현,3,3
동하랑,4,2
간민성,6,1
배지혜,5,2
부동현,1,3
어민수,6,1
원신우,3,2
은태현,4,1
고현호,6,2
경태이,6,1
제설,4,3
채혜정,3,1
간주완,1,3
박재윤,6,1
원소연,3,3
부민우,5,2
감다경,1,2
현준후,2,2
현지민,5,3
표효준,4,2
나주은,2,3
곽하늘,5,3
어준원,6,2
용세인,4,1
김서원,2,1
명순기,6,3
장찬희,4,1
우하엘,6,3
송온유,6,2
이율,2,3
은시윤,6,1
손동현,6,2
차인우,4,3
우정민,1,1
석지완,4,3
선지윤,6,1
주아라,6,1
양재원,2,3
임동훈,6,2
김소민,5,1
옥소은,1,2
변도연,5,1
두찬,1,3
황현지,1,2
백주희,3,1
백준수,4,3
위서준,2,2
도하빈,1,1
국원준,5,1
당지우,4,2
배해인,2,3
도유라,4,2
지도원,4,2
감정원,3,1
육시윤,3,3
어보미,6,2
진승현,3,1
구재희,6,2
이민결,3,2
남유진,2,2
연서정,5,2
명윤호,4,2
상윤우,5,1
복효린,4,3
유수현,6,1
동지율,6,1
탁지민,6,1
간동훈,3,2
송현진,1,1
엄보경,2,2
공유현,4,1
석승환,5,2
가건희,2,1
구요한,3,1
태민채,3,2
길우찬,2,2
옥정원,1,2
빈예인,1,2
변나영,3,2
심리아,3,3
송세준,3,3
지재이,1,2
고도아,2,1
진재윤,4,2
문시윤,5,3
금승민,2,3
인지인,5,1
선예서,6,1
최규빈,5,3
공민정,2,1
진정빈,3,3
범보경,6,3
도나연,6,2
봉승환,2,3
함시환,3,2
설규리,4,2
백민주,1,2
사한나,5,1
한태성,3,3
정이현,6,2
유지웅,6,3
김재희,6,2
갈하진,3,3
옥이현,6,3
민보경,1,3
황주환,2,1
승재이,6,1
원지은,4,1
임시은,2,1
손이안,6,3
하도현,6,3
방현서,4,2
공소미,4,2
도단비,1,2
원시현,5,2
팽예지,2,1
심은우,1,2
천다원,3,1
은지성,2,3
팽민영,6,1
황윤하,4,2
허수인,5,1
설사랑,3,3
나수현,4,3
황태은,3,3
