Name,Age,Purpose,Depature,Destination,PeriodOfStay
하효린,55,business,busan,osaka,34
모지완,34,tourism,kimpo,tokyo,32
승정원,54,tourism,kimpo,saporo,20
차준혁,67,other,kimpo,tokyo,7
육이준,29,tourism,busan,tokyo,25
가서윤,27,other,kimpo,fukuoka,42
설혜진,59,tourism,incheon,tokyo,82
반아린,17,tourism,jeju,osaka,71
당세빈,47,other,incheon,tokyo,88
왕태윤,30,other,kimpo,fukuoka,11
승아현,30,other,incheon,osaka,15
감태훈,5,tourism,jeju,tokyo,79
지태호,32,business,jeju,osaka,63
어소희,47,other,busan,osaka,2
채동윤,8,business,busan,fukuoka,49
우지연,45,other,kimpo,fukuoka,42
안유은,15,tourism,incheon,osaka,31
육아진,16,other,busan,osaka,6
김영민,35,tourism,kimpo,fukuoka,88
호하윤,6,business,jeju,saporo,46
두동현,36,business,busan,fukuoka,86
빈태경,62,other,busan,tokyo,45
방이준,71,other,jeju,tokyo,23
연수혁,78,tourism,busan,fukuoka,9
석서후,12,business,kimpo,tokyo,25
탁이준,77,tourism,kimpo,tokyo,89
온도진,26,tourism,busan,fukuoka,28
좌연우,79,other,kimpo,osaka,1
빈태준,32,other,kimpo,tokyo,20
오도율,34,tourism,jeju,tokyo,50
배정후,60,other,busan,osaka,65
신시온,41,tourism,jeju,osaka,56
황주한,25,business,kimpo,saporo,40
인윤성,7,tourism,busan,osaka,14
윤도하,62,business,kimpo,saporo,82
견시온,57,business,busan,saporo,69
탁혜윤,74,other,kimpo,fukuoka,10
손수혁,36,tourism,jeju,tokyo,61
문예나,68,other,kimpo,osaka,63
곽윤성,27,tourism,kimpo,tokyo,66
송범준,76,other,busan,tokyo,16
공수연,32,business,kimpo,osaka,7
추예나,72,business,kimpo,fukuoka,74
황주원,65,tourism,kimpo,osaka,64
주하진,66,business,jeju,tokyo,31
추가온,21,business,jeju,osaka,68
은솔,2,tourism,busan,saporo,85
윤민솔,63,business,jeju,tokyo,62
은동욱,8,other,kimpo,tokyo,39
예우빈,0,tourism,incheon,osaka,48
